# pattern;frequency
;1289
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;6
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;4
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;3
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u3d;1
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;1
